"","location","idv","pdi","mas","ivr","ltowvs","uai","total_cases","lambda","population","r_i"
"1","Albania",6,95,9,15,61,92,49191,175.682142857143,2877800,17093.265689068
"2","Algeria",51,57,64,32,26,74,92597,316.030716723549,43851043,2111.62594239777
"3","Andorra",27,73,43,65,52,80,7382,25.7212543554007,77265,95541.3188377661
"4","Argentina",46,49,56,62,20,86,1503222,5256.02097902098,45195777,33260.2313707318
"5","Armenia",18,93,40,17,61,88,148682,516.256944444444,2963234,50175.5851883449
"6","Australia",90,38,61,71,21,51,28048,86.8359133126935,25499881,1099.92670161873
"7","Austria",55,11,79,63,60,70,325051,1109.38907849829,9006400,36091.1129863208
"8","Azerbaijan",32,95,70,22,61,44,178986,621.479166666667,10139175,17652.9155478626
"9","Bangladesh",20,80,55,20,47,60,492332,1752.07117437722,164689383,2989.45803932
"10","Belarus",20,95,37,15,81,92,162148,559.131034482759,9449321,17159.7514784396
"11","Belgium",75,65,54,57,82,94,609211,1940.16242038217,11589616,52565.2446120734
"12","Brazil",38,69,49,59,44,76,6927145,23723.0993150685,212559409,32589.21838647
"13","Bulgaria",30,70,40,16,69,85,181544,646.064056939502,6948445,26127.2845938912
"14","Burkina Faso",25,55,42,18,27,70,4209,15.0860215053763,20903278,201.355978713004
"15","Canada",80,39,52,68,36,48,472820,1463.83900928793,37742157,12527.6358741235
"16","Chile",23,63,28,68,31,86,573830,1945.18644067797,19116209,30017.9810756411
"17","China",20,80,66,24,87,30,94427,288.767584097859,1439323774,65.6051138081181
"18","Colombia",13,67,64,83,13,80,1434516,5068.96113074205,50882884,28192.5057549804
"19","Costa Rica",15,35,21,70,13,86,153169,541.233215547703,5094114,30067.8390785915
"20","Croatia",33,73,40,33,58,80,177358,605.317406143345,4105268,43202.5387867491
"21","Cyprus",90,31,47,70,33,51,15450,55.1785714285714,875899,17639.0200239982
"22","Czechia",58,57,57,29,70,74,581079,2017.63541666667,10708982,54260.8998689138
"23","Denmark",74,18,16,70,35,23,113642,390.522336769759,5792203,19619.8234074324
"24","Dominican Republic",55,22,16,54,13,70,155184,538.833333333333,10847904,14305.436331295
"25","Ecuador",8,78,63,100,13,67,202180,702.013888888889,17643060,11459.4633810688
"26","Egypt",27,85,19,4,7,85,122086,401.598684210526,102334403,1193.01033104185
"27","El Salvador",19,66,40,89,20,94,41880,155.111111111111,6486201,6456.78417921369
"28","Estonia",60,40,30,16,82,60,18385,63.1786941580756,1326539,13859.3739045742
"29","Ethiopia",39,57,19,46,57,86,117242,424.789855072464,114963583,1019.81859768584
"30","Finland",63,33,26,57,38,59,31110,97.21875,5540718,5614.79577195591
"31","France",71,68,43,48,63,86,2435751,7494.61846153846,65273512,37316.0708742009
"32","Georgia",14,64,36,32,38,94,191063,654.325342465753,3989175,47895.3668365013
"33","Germany",67,35,66,40,83,65,1357261,4215.09627329193,83783945,16199.5356031517
"34","Ghana",19,70,73,72,4,44,53014,192.778181818182,31072945,1706.1144349208
"35","Greece",35,60,57,50,45,100,125173,428.674657534247,10423056,12009.2418192899
"36","Guatemala",6,95,37,4,50,98,129405,470.563636363636,17915567,7223.0479783308
"37","Hungary",80,46,88,31,58,82,283870,996.035087719298,9660350,29385.0636881686
"38","Iceland",30,63,42,67,28,93,5564,19.1862068965517,341250,16304.7619047619
"39","India",48,77,56,26,51,40,9906165,31053.8087774295,1380004385,7178.35762529117
"40","Indonesia",14,78,46,38,62,48,623309,2171.80836236934,273523621,2278.81232970369
"41","Iran",41,58,43,40,14,59,1115770,3731.67224080268,83992953,13284.0906307938
"42","Iraq",20,85,19,17,25,92,575972,1959.08843537415,40222503,14319.6458957315
"43","Ireland",70,28,68,65,24,35,76449,264.529411764706,4937796,15482.4136112549
"44","Israel",54,13,47,78,38,81,359506,1210.45791245791,8655541,41534.7810148436
"45","Italy",76,50,70,30,61,75,1855737,5835.65094339623,60461828,30692.7041636915
"46","Jamaica",39,45,68,97,13,13,11792,42.4172661870504,2961161,3982.22183798855
"47","Japan",46,54,95,42,88,92,182311,557.525993883792,126476458,1441.46193594384
"48","Jordan",20,70,48,43,16,40,262477,917.751748251748,10203140,25725.1199140657
"49","Kyrgyzstan",48,57,40,39,66,92,77674,286.619926199262,6524191,11905.5374068601
"50","Latvia",70,44,9,13,69,63,25885,90.191637630662,1886202,13723.3445834539
"51","Lithuania",60,42,19,16,82,65,95178,329.335640138408,2722291,34962.4636014298
"52","Luxembourg",60,40,50,56,64,70,41900,144.982698961938,625976,66935.4735644817
"53","Malaysia",26,100,50,57,41,36,84846,261.87037037037,32365998,2621.45477485354
"54","Mali",46,70,62,43,20,44,5836,22.1060606060606,20250834,288.185661884345
"55","Malta",59,56,47,66,47,96,11254,39.9078014184397,441539,25488.1222270286
"56","Mexico",30,81,69,97,24,82,1255974,4330.94482758621,128932753,9741.31065052183
"57","Moldova",20,95,53,19,71,48,127253,452.857651245552,4033963,31545.4058453189
"58","Montenegro",25,85,42,20,75,80,41803,153.6875,628062,66558.7155408224
"59","Morocco",46,70,53,25,14,68,400826,1396.606271777,36910558,10859.3860867668
"60","Netherlands",80,38,14,68,67,53,632085,2172.11340206186,17134873,36888.8056538266
"61","New Zealand",79,22,58,75,33,49,2096,7.22758620689655,4822233,434.653406419806
"62","Nigeria",60,13,68,84,13,58,73374,253.013793103448,206139587,355.943276436272
"63","North Macedonia",41,69,21,35,62,100,73851,252.914383561644,2083380,35447.6859718342
"64","Norway",69,31,8,55,35,50,41334,141.554794520548,5421242,7624.45210894478
"65","Pakistan",14,55,50,0,50,70,443246,1512.78498293515,220892331,2006.61561220068
"66","Panama",11,95,44,20,61,86,194619,697.559139784946,4314768,45105.3220010902
"67","Peru",16,64,42,46,25,87,984973,3480.46996466431,32971846,29873.1529924045
"68","Philippines",32,94,64,42,27,44,450733,1412.95611285266,109581085,4113.2372434531
"69","Poland",60,68,64,29,38,93,1140572,4002.00701754386,37846605,30136.7057890662
"70","Portugal",27,63,31,33,28,99,350938,1222.78048780488,10196707,34416.7975013894
"71","Romania",30,90,42,20,52,90,559587,1916.39383561644,19237682,29088.0678867652
"72","Russia",39,93,36,20,81,95,2656601,8354.09119496855,145934460,18204.0691417229
"73","Rwanda",89,18,47,37,18,53,6747,24.5345454545455,12952209,520.915003764995
"74","Saudi Arabia",54,65,56,52,36,76,360013,1254.40069686411,34813867,10341.0804665853
"75","Serbia",25,86,43,28,52,92,271364,958.883392226148,6804596,39879.5167266359
"76","Singapore",20,74,48,46,72,8,58325,178.911042944785,5850343,9969.50093353501
"77","Slovenia",27,71,19,48,49,88,96745,340.651408450704,2078932,46535.9136325767
"78","South Africa",59,13,58,63,34,58,866127,3049.74295774648,59308690,14603.7115303002
"79","South Korea",18,60,39,29,100,85,44364,135.669724770642,51269183,865.315134824754
"80","Spain",51,57,42,44,48,86,1751884,5526.44794952681,46754783,37469.6210225166
"81","Suriname",47,85,37,15,81,92,5359,19.4872727272727,586634,9135.16775365901
"82","Sweden",71,31,5,78,53,29,320098,1009.77287066246,10099270,31695.1621255794
"83","Switzerland",68,34,70,66,74,58,384557,1312.48122866894,8654618,44433.7346836105
"84","Taiwan",17,58,45,49,93,69,740,2.26299694189602,23816775,31.0705374678142
"85","Tanzania",46,66,49,38,34,85,509,1.86446886446886,59734213,8.52107987092757
"86","Thailand",20,64,34,45,32,64,4246,12.9847094801223,69799978,60.8309647318227
"87","Trinidad and Tobago",16,47,58,80,13,55,6885,25.0363636363636,1399491,4919.64578550344
"88","Turkey",37,66,45,49,46,85,1866345,6713.47122302158,84339067,22129.0686082643
"89","Uganda",89,18,68,52,24,51,27766,103.60447761194,45741000,607.026518878031
"90","Ukraine",39,95,19,14,86,30,925321,3235.38811188811,43733759,21158.0486369809
"91","United Kingdom",89,35,66,69,51,35,1874867,5895.80817610063,67886004,27617.8724557127
"92","United States",91,40,62,68,26,46,16600830,50767.0642201835,331002647,50153.1638808919
"93","Uruguay",36,61,38,53,26,98,10029,36.3369565217391,3473727,2887.10079980378
"94","Venezuela",12,81,73,100,16,76,108125,393.181818181818,28435943,3802.40599019347
"95","Vietnam",20,70,40,35,57,30,1402,4.30061349693251,97338583,14.403332746276
"96","Zambia",74,13,8,42,30,23,18322,67.6088560885609,18383956,996.629887495379
"97","Zimbabwe",48,35,53,28,15,81,11358,42.2230483271375,14862927,764.183259461612
